utterance,list_of_slots
Book a reservation for  seven  people at a  bakery  in  Osage City,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']"
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']"
I need a table for  breakfast  in  MI  at the  pizzeria,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']"
Book a restaurant reservation for  me and my child  for  2 Pm  in  Faysville,"['me and my child || party_size_description', '2 Pm || timeRange', 'Faysville || city']"
I want to book a  highly rated   churrascaria   ten months from now .,"['highly rated || sort', 'churrascaria || restaurant_type', 'ten months from now || timeRange']"
i need a table for  7  in  Kashegelok   VT,"['7 || party_size_number', 'Kashegelok || city', 'VT || state']"
book spot for  eight  at a  bar  that serves  pastelaria,"['eight || party_size_number', 'bar || restaurant_type', 'pastelaria || cuisine']"
I need a table for  clare and yvonne ramirez  at  Baker's Keyboard Lounge,"['clare and yvonne ramirez || party_size_description', ""Baker's Keyboard Lounge || restaurant_name""]"
"I want to book  Cheese Board Collective  in  Poland  for  april the first, 2030 .","['Cheese Board Collective || restaurant_name', 'Poland || country', 'april the first, 2030 || timeRange']"
Book a reservation for a  pub  serving  burritos,"['pub || restaurant_type', 'burritos || served_dish']"
Book a reservation for  eight  people in  North Dakota,"['eight || party_size_number', 'North Dakota || state']"
Book me a reservation for  eight  for the  top-rated   bakery   eleven hours from now  in  Mango,"['eight || party_size_number', 'top-rated || sort', 'bakery || restaurant_type', 'eleven hours from now || timeRange', 'Mango || city']"
Book a reservation for a  restaurant  in  Palau   in six years  ,"['restaurant || restaurant_type', 'Palau || state', 'in six years || timeRange']"
Need a table for a party of  six  at the  RingSide Steakhouse  in the state of  Nevada,"['six || party_size_number', 'RingSide Steakhouse || restaurant_name', 'Nevada || state']"
Book spot for  7  at  NH   Theressa,"['7 || party_size_number', 'NH || state', 'Theressa || city']"
book a  restaurant  in  Georgia,"['restaurant || restaurant_type', 'Georgia || country']"
I need a table in  Elba  for  ten  that has a  bar,"['Elba || city', 'ten || party_size_number', 'bar || restaurant_type']"
need a table at a  close-by   restaurant  right  now  in  Marco,"['close-by || spatial_relation', 'restaurant || restaurant_type', 'now || timeRange', 'Marco || city']"
"I want to book a  restaurant  in a  distant   ID   spa  for  lidia, latasha and diann .","['restaurant || restaurant_type', 'distant || spatial_relation', 'ID || state', 'spa || facility', 'lidia, latasha and diann || party_size_description']"
book a table in  FL  for  ten  people,"['FL || state', 'ten || party_size_number']"
I want to book a  restaurant  in  Ayer  for  2  people.,"['restaurant || restaurant_type', 'Ayer || city', '2 || party_size_number']"
book spot at a  highly rated   restaurant  in  Tajikistan,"['highly rated || sort', 'restaurant || restaurant_type', 'Tajikistan || country']"
Book a spot for  now  in  NY  for  10,"['now || timeRange', 'NY || state', '10 || party_size_number']"
"Book a reservation for  The Training Table  on  Mar. thirteenth, 2026","['The Training Table || restaurant_name', 'Mar. thirteenth, 2026 || timeRange']"
"book a table for  me, heidi and cara  in  Saudi Arabia","['me, heidi and cara || party_size_description', 'Saudi Arabia || country']"
Book a reservation for  eight  at a  cafeteria   saturday,"['eight || party_size_number', 'cafeteria || restaurant_type', 'saturday || timeRange']"
Book reservation in  Gasconade  at the  best   restaurant  in  DC,"['Gasconade || city', 'best || sort', 'restaurant || restaurant_type', 'DC || state']"
Book spot at  Fried chicken restaurant  in  Mauritania,"['Fried chicken restaurant || restaurant_name', 'Mauritania || country']"
I need a table at  spa   joint,"['spa || facility', 'joint || restaurant_type']"
book a  restaurant  in  NE  for  ascension day  in  Cle Elum  that serves  seafood  for  me and my nieces,"['restaurant || restaurant_type', 'NE || state', 'ascension day || timeRange', 'Cle Elum || city', 'seafood || served_dish', 'me and my nieces || party_size_description']"
book spot for  4  in  Somalia,"['4 || party_size_number', 'Somalia || country']"
"book spot for  John Pearson Soda Works  in  Cambodia  on  Mar. 21st, 2023","['John Pearson Soda Works || restaurant_name', 'Cambodia || country', 'Mar. 21st, 2023 || timeRange']"
I want to make a reservation for  one  at a  sushi   restaurant  in  Brucetown,"['one || party_size_number', 'sushi || served_dish', 'restaurant || restaurant_type', 'Brucetown || city']"
I want to book  The Hat  for  my grandfather and I  in  Arkansas .,"['The Hat || restaurant_name', 'my grandfather and I || party_size_description', 'Arkansas || state']"
party of  six   this week  in  Oman,"['six || party_size_number', 'this week || timeRange', 'Oman || country']"
I need a table in  Anderson   Arkansas,"['Anderson || city', 'Arkansas || state']"
Book spot for  eight  at  bar  that serves  potée,"['eight || party_size_number', 'bar || restaurant_type', 'potée || served_dish']"
need to book a table in  Ludden,['Ludden || city']
"book a table at  The Crab Cooker  for  now  for  angelina, melva cooper and gwen","['The Crab Cooker || restaurant_name', 'now || timeRange', 'angelina, melva cooper and gwen || party_size_description']"
book a table for  10  in  CHAR No.4  in  Colombia,"['10 || party_size_number', 'CHAR No.4 || restaurant_name', 'Colombia || country']"
book spot for  melisa castillo and vicky allen  in  Sadorus   MT,"['melisa castillo and vicky allen || party_size_description', 'Sadorus || city', 'MT || state']"
Book a reservation for  8  people at an  irish   bar,"['8 || party_size_number', 'irish || cuisine', 'bar || restaurant_type']"
Book me a reservation for a party of  3  at a  restaurant  in  KY,"['3 || party_size_number', 'restaurant || restaurant_type', 'KY || state']"
book spot in  North Catasauqua   SD   in sixteen minutes,"['North Catasauqua || city', 'SD || state', 'in sixteen minutes || timeRange']"
I want to book a  highly rated   fast food restaurant  for  eight  people.,"['highly rated || sort', 'fast food restaurant || restaurant_type', 'eight || party_size_number']"
I need to find a table for  4  at a  brasserie  that has  fondue,"['4 || party_size_number', 'brasserie || restaurant_type', 'fondue || served_dish']"
"Book a reservation for  eight  people at a  top-rated   restaurant  in  Busby ,  GU  on  may second, 2024","['eight || party_size_number', 'top-rated || sort', 'restaurant || restaurant_type', 'Busby || city', 'GU || state', 'may second, 2024 || timeRange']"
I want to book  Moishes Steakhouse  in  Lucky .,"['Moishes Steakhouse || restaurant_name', 'Lucky || city']"
book  restaurant  at  ten  that has  internet,"['restaurant || restaurant_type', 'ten || party_size_number', 'internet || facility']"
Book a reservation for  seven  people at a  highly rated   restaurant   this month  in  Hawaii,"['seven || party_size_number', 'highly rated || sort', 'restaurant || restaurant_type', 'this month || timeRange', 'Hawaii || state']"
"I want to book a  restaurant  for  me, carissa and lynn ramirez  in  Colorado .","['restaurant || restaurant_type', 'me, carissa and lynn ramirez || party_size_description', 'Colorado || state']"
Book me a  lunch  at  Boreas  for a party of  8,"['lunch || timeRange', 'Boreas || restaurant_name', '8 || party_size_number']"
Lets eat in  Little Eagle  on  May nineteenth  for  7  people,"['Little Eagle || city', 'May nineteenth || timeRange', '7 || party_size_number']"
"I want to book a  restaurant  in  New Mexico  for  kenya, lilia and ingrid .","['restaurant || restaurant_type', 'New Mexico || state', 'kenya, lilia and ingrid || party_size_description']"
I want to book  Baker's Keyboard Lounge  for  clare and yvonne ramirez .,"[""Baker's Keyboard Lounge || restaurant_name"", 'clare and yvonne ramirez || party_size_description']"
I want to book a  bar  in  Bonaparte   Palau .,"['bar || restaurant_type', 'Bonaparte || city', 'Palau || state']"
need a table  eighteen seconds from now  at a  restaurant  serving  muffuletta,"['eighteen seconds from now || timeRange', 'restaurant || restaurant_type', 'muffuletta || served_dish']"
I want to book a  highly rated   oyster bar  for  this week   close  by in  FL .,"['highly rated || sort', 'oyster bar || restaurant_type', 'this week || timeRange', 'close || spatial_relation', 'FL || state']"
book spot for  seven  that is  distant  from  your gf's current location  at a  bar  that serves  middle eastern  for  Midnight,"['seven || party_size_number', 'distant || spatial_relation', ""your gf's current location || poi"", 'bar || restaurant_type', 'middle eastern || cuisine', 'Midnight || timeRange']"
"Book a reservation for  leticia, melva and twila edwards  at  Glassy Junction  for  five p.m   within the same area  of  our secondary residence","['leticia, melva and twila edwards || party_size_description', 'Glassy Junction || restaurant_name', 'five p.m || timeRange', 'within the same area || spatial_relation', 'our secondary residence || poi']"
Book me a reservation for a party of  5  for the  best   coffeehouse   nearby   Borough londonien de Wandsworth  on  Lee Jackson Day,"['5 || party_size_number', 'best || sort', 'coffeehouse || restaurant_type', 'nearby || spatial_relation', 'Borough londonien de Wandsworth || poi', 'Lee Jackson Day || timeRange']"
Book me a reservation for a  puglia   restaurant  at  three,"['puglia || cuisine', 'restaurant || restaurant_type', 'three || party_size_number']"
"i want a table  in one week  at  Glen Arm  for  esmeralda, andrea and I","['in one week || timeRange', 'Glen Arm || city', 'esmeralda, andrea and I || party_size_description']"
"i want a table at an  outdoor   restaurant  for  me, helene and alana","['outdoor || facility', 'restaurant || restaurant_type', 'me, helene and alana || party_size_description']"
Book a reservation for a  delicatessen  restaurant that serves  farçous  in  OK,"['delicatessen || restaurant_type', 'farçous || served_dish', 'OK || state']"
"I want to book a restaurantin  Perrytown   Missouri  for  candice, jeannie and nichole .","['Perrytown || city', 'Missouri || state', 'candice, jeannie and nichole || party_size_description']"
Book me a reservation for  2  at  Fraser Mansion  in  Serbia,"['2 || party_size_number', 'Fraser Mansion || restaurant_name', 'Serbia || country']"
need a table somewhere in  McLaurin   Connecticut,"['McLaurin || city', 'Connecticut || state']"
I want to book an  osteria  in  Morningside   AL .,"['osteria || restaurant_type', 'Morningside || city', 'AL || state']"
Book me a reservation for a party of  three   next year,"['three || party_size_number', 'next year || timeRange']"
Book a reservation for a  restaurant   now,"['restaurant || restaurant_type', 'now || timeRange']"
book spot at  top-rated   restaurant,"['top-rated || sort', 'restaurant || restaurant_type']"
Book a reservation for  my great grandfather and I  at a  macaroni   pub  in  CT,"['my great grandfather and I || party_size_description', 'macaroni || served_dish', 'pub || restaurant_type', 'CT || state']"
Book a reservation for  The Windmill  in  Northern Mariana Islands,"['The Windmill || restaurant_name', 'Northern Mariana Islands || country']"
I want to book a  latin   restaurant  for  five  people.,"['latin || cuisine', 'restaurant || restaurant_type', 'five || party_size_number']"
I want to book a  pub   now .,"['pub || restaurant_type', 'now || timeRange']"
I want to book a  restaurant  in  Reily   VT .,"['restaurant || restaurant_type', 'Reily || city', 'VT || state']"
book spot for  7  at a  steakhouse  in  Bulgaria,"['7 || party_size_number', 'steakhouse || restaurant_type', 'Bulgaria || country']"
I want to book a  restaurant  in  NM  for  two  people.,"['restaurant || restaurant_type', 'NM || state', 'two || party_size_number']"
table for  1  please,['1 || party_size_number']
Book a reservation for a party of  6  at  The Waterside Inn,"['6 || party_size_number', 'The Waterside Inn || restaurant_name']"
book a party of  nine  for an  indoor   cafe,"['nine || party_size_number', 'indoor || facility', 'cafe || restaurant_type']"
Book a reservation at a  restaurant   nearby   their airbnb,"['restaurant || restaurant_type', 'nearby || spatial_relation', 'their airbnb || poi']"
Book a reservation for  one  at  Bouchon  in  Oregon  on  6/13/2039,"['one || party_size_number', 'Bouchon || restaurant_name', 'Oregon || state', '6/13/2039 || timeRange']"
Book a  restaurant  reservation for  nine  in  VA  on  August 21,"['restaurant || restaurant_type', 'nine || party_size_number', 'VA || state', 'August 21 || timeRange']"
table for  7  at  Blueberry Hill,"['7 || party_size_number', 'Blueberry Hill || restaurant_name']"
I want to book a  restaurant  for  five  people.,"['restaurant || restaurant_type', 'five || party_size_number']"
I want to book a  bistro  that serves  pasta salad  in  Brazil .,"['bistro || restaurant_type', 'pasta salad || served_dish', 'Brazil || country']"
book a party of  six  at  Atascadero,"['six || party_size_number', 'Atascadero || city']"
book a  restaurant  for  seven  in  Sudan,"['restaurant || restaurant_type', 'seven || party_size_number', 'Sudan || country']"
I want to book a  restaurant  in  Federated States Of Micronesia   1 hour from now .,"['restaurant || restaurant_type', 'Federated States Of Micronesia || state', '1 hour from now || timeRange']"
Book me a  restaurant  reservation for a party of  8   ten hours from now,"['restaurant || restaurant_type', '8 || party_size_number', 'ten hours from now || timeRange']"
"I want to book  Ribera Steakhouse  in  Sint Maarten  for  tamra, desiree and lesley .","['Ribera Steakhouse || restaurant_name', 'Sint Maarten || country', 'tamra, desiree and lesley || party_size_description']"
"book a table for  me and bettye  at  Washington, D.C. Jewish Community Center  in  Montana","['me and bettye || party_size_description', 'Washington, D.C. Jewish Community Center || restaurant_name', 'Montana || state']"
Book a reservation for  3  at  Union Square Cafe,"['3 || party_size_number', 'Union Square Cafe || restaurant_name']"
I want to book a  restaurant   close  by  my girlfriend's work location  on  11/22/2038 .,"['restaurant || restaurant_type', 'close || spatial_relation', ""my girlfriend's work location || poi"", '11/22/2038 || timeRange']"
need a table for  2  in  Kuwait,"['2 || party_size_number', 'Kuwait || country']"
I want to book a  restaurant   in 1 day  for  me and my boyfriend .,"['restaurant || restaurant_type', 'in 1 day || timeRange', 'me and my boyfriend || party_size_description']"
Want to book a table at a  restaurant  in  Samoa,"['restaurant || restaurant_type', 'Samoa || country']"
I want to book a  restaurant  in  Cooperdale  for  five  people.,"['restaurant || restaurant_type', 'Cooperdale || city', 'five || party_size_number']"
Book spot in  twelve hours nineteen minutes and seven seconds from now  at a  cafe  that serves  molise,"['twelve hours nineteen minutes and seven seconds from now || timeRange', 'cafe || restaurant_type', 'molise || cuisine']"
Book me a reservation for  Ad Hoc  in  Brazil  for a party of  7,"['Ad Hoc || restaurant_name', 'Brazil || country', '7 || party_size_number']"
Book me a reservation for a  rajasthani   restaurant  in  Micronesia,"['rajasthani || cuisine', 'restaurant || restaurant_type', 'Micronesia || country']"
I want to book a  restaurant  in  Glenarden   South Dakota  for  two  people.,"['restaurant || restaurant_type', 'Glenarden || city', 'South Dakota || state', 'two || party_size_number']"
Book a reservation for a  highly rated   cafeteria  on  october the 11th,"['highly rated || sort', 'cafeteria || restaurant_type', 'october the 11th || timeRange']"
book a table in  Grove Place  for  two,"['Grove Place || city', 'two || party_size_number']"
book a table for  now  for  4  for an  oyster bar,"['now || timeRange', '4 || party_size_number', 'oyster bar || restaurant_type']"
Book me a reservation for  six  in  Mar . at a  coffeehouse   neighboring   Scott Depot,"['six || party_size_number', 'Mar || timeRange', 'coffeehouse || restaurant_type', 'neighboring || spatial_relation', 'Scott Depot || city']"
book a table at  Big City Burrito  in  Tower City,"['Big City Burrito || restaurant_name', 'Tower City || city']"
Book a table at  Georgetown Cupcake  in  GA  for  two  people,"['Georgetown Cupcake || restaurant_name', 'GA || state', 'two || party_size_number']"
I want to book a  restaurant   not far  from  our college .,"['restaurant || restaurant_type', 'not far || spatial_relation', 'our college || poi']"
I want to book a  restaurant   far  from  Rollins  for  four  people  in eighteen seconds  .,"['restaurant || restaurant_type', 'far || spatial_relation', 'Rollins || city', 'four || party_size_number', 'in eighteen seconds || timeRange']"
Book me a reservation for  six  for  Crown Burgers  in  Lebanon,"['six || party_size_number', 'Crown Burgers || restaurant_name', 'Lebanon || country']"
book spot at  Candle Cafe,['Candle Cafe || restaurant_name']
book a table for  lillian and edna  at  The Berghoff,"['lillian and edna || party_size_description', 'The Berghoff || restaurant_name']"
book spot at  highly rated   pub  on  tisha b'av,"['highly rated || sort', 'pub || restaurant_type', ""tisha b'av || timeRange""]"
Need a reservation  close-by   East Hanover .,"['close-by || spatial_relation', 'East Hanover || city']"
Get a  chimichanga   meal  at a  bakery,"['chimichanga || served_dish', 'meal || timeRange', 'bakery || restaurant_type']"
I want to book a  restaurant   within the same area  of  Horse Pasture .,"['restaurant || restaurant_type', 'within the same area || spatial_relation', 'Horse Pasture || city']"
"Book me a reservation for a  top-rated   pub  in  Ladue ,  Colorado","['top-rated || sort', 'pub || restaurant_type', 'Ladue || city', 'Colorado || state']"
Book a reservation for a  pub  serving  croquembouche,"['pub || restaurant_type', 'croquembouche || served_dish']"
I would like to book reservations for the  Venetian Theatre  in  Hepler  for a party of  6 .,"['Venetian Theatre || restaurant_name', 'Hepler || city', '6 || party_size_number']"
"Book me a table at a  restaurant  in  Ellisport ,  MH .","['restaurant || restaurant_type', 'Ellisport || city', 'MH || state']"
I want to book a  indonesian   brasserie   far  from  Savoonga  on  february eleventh .,"['indonesian || cuisine', 'brasserie || restaurant_type', 'far || spatial_relation', 'Savoonga || city', 'february eleventh || timeRange']"
Book a reservation for  10  people for  highly rated   fast food   nearby   Bristol Bay Borough,"['10 || party_size_number', 'highly rated || sort', 'fast food || restaurant_type', 'nearby || spatial_relation', 'Bristol Bay Borough || poi']"
I want to book a  restaurant  in  Gray Horse .,"['restaurant || restaurant_type', 'Gray Horse || city']"
I want to book a  highly rated   restaurant  in  Lake Junaluska .,"['highly rated || sort', 'restaurant || restaurant_type', 'Lake Junaluska || city']"
book a restautant in  North Dakota  at a  bistro  that is  indoor,"['North Dakota || state', 'bistro || restaurant_type', 'indoor || facility']"
I want to book a  russian   bar  for  seven  people in  MN   21 hours from now .,"['russian || cuisine', 'bar || restaurant_type', 'seven || party_size_number', 'MN || state', '21 hours from now || timeRange']"
I want to book  Jacob Wirth Restaurant  in  West Virginia  for  me and my baby .,"['Jacob Wirth Restaurant || restaurant_name', 'West Virginia || state', 'me and my baby || party_size_description']"
book a  turkish   restaurant  in  DE,"['turkish || cuisine', 'restaurant || restaurant_type', 'DE || state']"
I want to book a  restaurant   distant  from  lynette's position  for  julia and rosanna .,"['restaurant || restaurant_type', 'distant || spatial_relation', ""lynette's position || poi"", 'julia and rosanna || party_size_description']"
"book spot for  dolores, leona clark and I  at  The Green Shack  in  Indonesia","['dolores, leona clark and I || party_size_description', 'The Green Shack || restaurant_name', 'Indonesia || country']"
Need a table for  the day after tomorrow  in  Clarenceville  at the  Black Rapids Roadhouse,"['the day after tomorrow || timeRange', 'Clarenceville || city', 'Black Rapids Roadhouse || restaurant_name']"
I want to book a  restaurant  for  eight  in  Harding .,"['restaurant || restaurant_type', 'eight || party_size_number', 'Harding || city']"
"book a table at a  pub  on  jun. 17, 2023","['pub || restaurant_type', 'jun. 17, 2023 || timeRange']"
"Please make a booking at  Sonoy  in  Montague ,  LA .","['Sonoy || restaurant_name', 'Montague || city', 'LA || state']"
book a party of  four  at a  highly rated   pub,"['four || party_size_number', 'highly rated || sort', 'pub || restaurant_type']"
I want to book a  highly rated   restaurant  in  VA  for  one  person at  zero am .,"['highly rated || sort', 'restaurant || restaurant_type', 'VA || state', 'one || party_size_number', 'zero am || timeRange']"
"book a table  1 year from now  for  corinne, tisha and I  at a  restaurant  in  Guernsey  that is  top-rated","['1 year from now || timeRange', 'corinne, tisha and I || party_size_description', 'restaurant || restaurant_type', 'Guernsey || country', 'top-rated || sort']"
Book a reservation for  arlene stewart and I  at  The Laundromat Cafe  in  South Dakota,"['arlene stewart and I || party_size_description', 'The Laundromat Cafe || restaurant_name', 'South Dakota || state']"
Need a table for  breakfast  in  North Carolina  for the  Bobcat Bite,"['breakfast || timeRange', 'North Carolina || state', 'Bobcat Bite || restaurant_name']"
I want a table at a  highly rated   pub  sometime  this year,"['highly rated || sort', 'pub || restaurant_type', 'this year || timeRange']"
I want to book  Dinner by Heston Blumenthal  in  AL .,"['Dinner by Heston Blumenthal || restaurant_name', 'AL || state']"
I want to book the  Pollen Street Social  in  South Dartmouth  for this  morning .,"['Pollen Street Social || restaurant_name', 'South Dartmouth || city', 'morning || timeRange']"
I want to book a  pub  in a  spa  for  five  people.,"['pub || restaurant_type', 'spa || facility', 'five || party_size_number']"
I want to be  Main Deli Steak House   near   Hendley .,"['Main Deli Steak House || restaurant_name', 'near || spatial_relation', 'Hendley || city']"
Book me a reservation for a  burrito   restaurant   faraway  from  katy's hostel  for a party of  4,"['burrito || served_dish', 'restaurant || restaurant_type', 'faraway || spatial_relation', ""katy's hostel || poi"", '4 || party_size_number']"
I want to book an  outdoor   restaurant  for  Sat .,"['outdoor || facility', 'restaurant || restaurant_type', 'Sat || timeRange']"
Book me a reservation for a  javanese   bar  in  Texas,"['javanese || cuisine', 'bar || restaurant_type', 'Texas || state']"
Book a reservation for  genevieve and lucia  at a  food court  in  argentinian,"['genevieve and lucia || party_size_description', 'food court || restaurant_type', 'argentinian || cuisine']"
Book me a reservation in  Kenya  for a party of  six,"['Kenya || country', 'six || party_size_number']"
